Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
QianYang2018,https://pubmed.ncbi.nlm.nih.gov/29881345/,10.3389/fnagi.2018.00156,Detection of Microbial 16S rRNA Gene in the Blood of Patients With Parkinson's Disease.,2018,China,Asia,16S,Frontiers in aging neuroscience,Parkinson’s disease (PD),No Difference,No,Myroides; Isoptericola; Microbacterium; Cloacibacterium; Enhydrobacter (LDA Score (log10) > 2; FDR 5%),Limnobacter,LEfSe (LDA),Main Text,,Marc W. Van Goethem,These are blood samples,,,,,,,,,
WadopVasquez2025,https://pubmed.ncbi.nlm.nih.gov/41156809/,10.3390/microorganisms13102350,Differential Patterns of Gut and Oral Microbiomes in Hispanic Individuals with Cognitive Impairment.,2025,United States,North America,16S,Microorganisms,"Alzheimer’s disease (AD), Dementia",No Difference,No,Streptococcus; Fusobacterium; Fretibacterium; Dialister; Mycoplasma (oral data); Bacteroides; Escherichia-Shigella (gut data),Neisseria (oral data); Ruminococcus; Shuttleworthia; Holdemania; Subdoligranulum; UGC-005; Eubacterium brachy (gut data),Linear (e.g. MaAsLin),Main Text,,Marc W. Van Goethem,Oral and gut data,,,,,,,,,
KennaChua2021,https://pubmed.ncbi.nlm.nih.gov/34776854/,10.3389/fnins.2021.756951,Changes in the Gut Microbiome and Predicted Functional Metabolic Effects in an Australian Parkinson's Disease Cohort.,2021,Australia,Oceania,16S,Frontiers in neuroscience,Parkinson’s disease (PD),Decrease,No,Synergistetes (q<0.001); Proteobacteria (q=0.034),Lachnospiraceae (q=0.011); Roseburia (q<0.001); Kineothrix (q=0.105); Agathobaculum (q = 0.121); Colidextribacter (q=0.105); Intestinibacter (q=0.121),Other,Main Text,,Marc W. Van Goethem,Used Wilcoxon rank-sum tests for differential abundance,,,,,,,,,
PeiLu2023,https://pubmed.ncbi.nlm.nih.gov/37350810/,10.3389/fnagi.2023.1174599,Gut microbiota and intestinal barrier function in subjects with cognitive impairments: a cross-sectional study.,2023,China,Asia,16S,Frontiers in aging neuroscience,Alzheimer’s disease (AD),No Difference,Differing B/w Subgroups,Catenibacterium (p=0.039); Family XIII AD3011 (p=0.011); Vagococcus (p=0.032) (in AD); Alistipes; Bacteroides; Roseburia; Tyzzerella 4 (in MCI),Dorea (p<0.01); Streptococcus (p=0.015),Other,Main Text,,Marc W. Van Goethem,,,,,,,,,,
LubomskiXu2022,https://pubmed.ncbi.nlm.nih.gov/35645785/,10.3389/fnagi.2022.881872,Nutritional Intake and Gut Microbiome Composition Predict Parkinson's Disease.,2022,Australia,Oceania,16S,Frontiers in aging neuroscience,Parkinson’s disease (PD),No Difference,Yes,Bifidobacterium; Butyricimonas; Candidatus Soleaferre; Faecalibacterium sp. UBA1819; Flavonifractor; Ruminococcus gnavus,Agathobacter; Butyricicoccus; Erysipelotrichaceae UCG-003; Eubacterium xylanophilum; Fusicatenibacter; Lachnospiraceae ND3007 group; Ruminococcus gauvreauii; Firmacutes bacterium CAG:56,Other,Main Text,,Marc W. Van Goethem,Used ANOVA-like differential expression (ALDEx2),,,,,,,,,
KozhakhmetovKaiyrlykyzy2024,https://pubmed.ncbi.nlm.nih.gov/39346576/,10.1155/2024/9741811,Inflammatory Manifestations Associated With Gut Dysbiosis in Alzheimer's Disease.,2024,Kazakhstan,Asia,16S,International journal of Alzheimer's disease,Alzheimer’s disease (AD),No Difference,Yes,Phyllobacterium; Lactobacillus salivarius; Bacteroidia; Coriobacteriia; Erysipelotrichia; Gemmatimonadetes; Verrucomicrobiae; Cloacibacillus; Clostridia,"Rhodospirillales; Bacteroides, Bifidobacterium breve; Monoglobus","LEfSe (LDA), DESeq",Main Text,,Marc W. Van Goethem,,,,,,,,,,
MateoCarrión2024,https://pubmed.ncbi.nlm.nih.gov/39458354/,10.3390/microorganisms12102046,Gut Microbiota Alterations in Alzheimer's Disease: Relation with Cognitive Impairment and Mediterranean Lifestyle,2024,Spain,Europe,Shotgun,Microorganisms,Alzheimer’s disease (AD),Decrease,No,None,None,Linear (e.g. MaAsLin),Main Text,,Ariana J. Hampton,"2 taxa had an increase (not significant) in the text but no significant differences were found across any of the other taxonomic ranks. Tables only compare AD patienst in subgroups (diet 1 vs diet 2 or clinical behavior vs other clinical behavior vs other). Sup files do not have anything listed either. Only beta div coefficients are between sub groups

",,,,,,,,,
YuQiu2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8806552/,10.1080/21655979.2021.1955543,Profile of gut microbiota in patients with traumatic thoracic spinal cord injury and its clinical implications: a case-control study in a rehabilitation setting,2021,China,Asia,16S,Bioengineered,Spinal cord injury (SCI),Decrease,Yes,"Complete thoracic SCI (CTSCI): Actinobacteria, Synergistetes","Incomplete thoracic SCI (ITSCI): Bacteroidetes, Cyanobacteria, Proteobacteria",LEfSe (LDA),Main Text,,Ariana J. Hampton,"Beta separation is not calculated as all subgroups vs control but rather for each individual subgroup vs control. However, each individual subgroup is significantly different from control. Checked w/ Emily and confirmed that I can still list this as a yes for beta div. ",,,,,,,,,
BrennerStamper2020,https://journals.lww.com/headtraumarehab/abstract/2020/09000/microbial_diversity_and_community_structures_among.6.aspx,10.1097/HTR.0000000000000615,Microbial Diversity and Community Structures Among Those With Moderate to Severe TBI: A United States-Veteran Microbiome Project Study,2020,United States,North America,16S,Journal of Head Trauma Rehabilitation,Traumatic Brain Injury (TBI),No Difference,No,None,None,ANCOM,Main Text,gradient/subtypes,Ariana J. Hampton,There were no significant differences in gut bacterial αand β-diversity associated with moderate/severe TBI status. No differentially abundant taxa were identified when comparing samples from moderate/severe TBI to those with no TBI or no TBI/mild TBI.,,,,,,,,,
ZhangZhang2018,https://pmc.ncbi.nlm.nih.gov/articles/PMC6293533/,10.1186/s12967-018-1735-9,Gut microbiota dysbiosis in male patients with chronic traumatic complete spinal cord injury,2018,China,Asia,16S,Journal of Translational Medicine,Spinal cord injury (SCI),Decrease,Yes,"Bacteroides, Blautia, Lachnoclostridium, Escherichia-Shigella, Veillonellaceae, Prevotellaceae","Megamonas, Prevotella_9, [Eubacterium]_rectale_group, Dialister, Subdoligranulum, Bacteroidaceae, Bacteroides","LEfSe (LDA), Other",Main Text,,Ariana J. Hampton,Specifically on chronic traumatic complete SCI - both quadriplegia and paraplegia patients enrolled,,,,,,,,,
ZhangJing2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6731442/,PMID/31497202,Dysbiosis of gut microbiota is associated with serum lipid profiles in male patients with chronic traumatic cervical spinal cord injury,2019,China,Asia,16S,American Journal of Translational Research,Spinal cord injury (SCI),Decrease,Yes,"Proteobacteria, Verrucomicrobia, Bacteroides, Blautia, Escherichia-Shigella, Lactobacillus, and Akkermansia","Firmicutes, Faecalibacterium, Megamonas, Prevotella_9, [Eubacterium]_rectale_group, Dialister, and Subdoligranulum",LEfSe (LDA),Main Text,,Ariana J. Hampton,Specifically traumatic cervical spinal cord injury (TCSCI).   | no doi associated with it through PubMed or Google Scholar - could not find online version from the publisher either,,,,,,,,,
BazzocchiTurroni2021,https://pmc.ncbi.nlm.nih.gov/articles/PMC8211659/,10.1038/s41598-021-92027-z,Changes in gut microbiota in the acute phase after spinal cord injury correlate with severity of the lesion,2021,Italy,Europe,16S,Scientific Reports,Spinal cord injury (SCI),No Difference,Yes,"Coriobacteriaceae, Enterococcaceae, Lactobacillaceae, Streptococcaceae, Methanobacteriaceae, Enterobacteriaceae, Verrucomicrobiaceae","Prevotellaceae, Clostridiaceae, Ruminococcaceae",Other,Main Text,,Ariana J. Hampton,,,,,,,,,,
PangWang2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9549169/,10.3389/fmicb.2022.986480,Relationship between gut microbiota and lymphocyte subsets in Chinese Han patients with spinal cord injury,2022,China,Asia,16S,Frontiers in Microbiology,Spinal cord injury (SCI),Increase,Yes,"Synergistetes, Actinomycota, Tannerellaceae, Ruminococcaceae, Synergistaceae, Lactobacillaceae, Escherichia-Shigella, LachnospiraceaeUCG-008, Alistipes, Parabacteroides, [Ruminococcus] torques group, Ruminococcaceae NK4A214 group, Ruminococcaceae UCG-005, Ruminococcus 2, Ruminococcus 1, Christensenellaceae R-7 group, Cloacibacillus, Lactobacillus, [Eubacterium] ruminantium group, Dialister, Ruminiclostridium 9, Ruminococcaceae UGG-013, UBA1819, Ruminiclostridium 6, Ruminiclostridium 5","Fusobacteria, Fusobacteriaceae, Tannerellaceae, Fusobacterium",LEfSe (LDA),Main Text,,Ariana J. Hampton,,,,,,,,,,
JoKang2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9262988/,10.1038/s41531-022-00351-6,Oral and gut dysbiosis leads to functional alterations in Parkinson's disease.,2022,South Korea,Asia,Shotgun,NPJ Parkinson's disease,Parkinson’s disease (PD),No Difference,Yes,"Proteobacteria, Lactobacillus",Bacteroidetes,LEfSe (LDA),Main Text,,Ariana J. Hampton,,,,,,,,,,
KongZhang2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC9940348/,10.1186/s13041-023-01014-0,The gut microbiota and metabolite profiles are altered in patients with spinal cord injury,2023,China,Asia,16S,Molecular Brain,Spinal cord injury (SCI),Not Reported,Yes,"Synergistota, UBA1819, Eggerthella, Firmicutes, Proteobacteria, Actinobacteriota, Bacteroidota","Blautia, Faecalibacterium, Escherichia–Shigella, Agathobacter, Collinsella, Dorea, Roseburia, Lachnospiraceae_ NK4A136_group, Fusicatenibacter, Holdemanella, Ruminococcus, UCG-002, Clostridia_UCG-014, Firmicutes, Proteobacteria, Actinobacteriota, Bacteroidota",LEfSe (LDA),Main Text,,Ariana J. Hampton,Main text lists taxa - for some had to check p values from figures,,,,,,,,,
LinXu2020,https://pmc.ncbi.nlm.nih.gov/articles/PMC7402510/,10.1371/journal.pone.0236470,Alterations in the fecal microbiota of patients with spinal cord injury,2020,China,Asia,16S,PLOS One,Spinal cord injury (SCI),No Difference,Yes,"Parabacteroides, Alistipes, Phascolarctobacterium, Christensenella, Barnesiella, Holdemania, Eggerthella, Intestinimonas, Gordonibacter, Bilophila, Flavonifractor, Coprobacillus","Haemophilus, Clostrdium sensu stricto 1, Veillonella, Dialister, Roseburia, Megamonus, Leuconostoc, Lachnospira, Megasphaera, Rhodococcus, Ruminococcus, Subdoligranulum, pesudobeautyrivibrio, Faecalibacterium ",LEfSe (LDA),Main Text,,Ariana J. Hampton,,,,,,,,,,
UrbanPyles2020,https://journals.sagepub.com/doi/10.1089/neu.2019.6688?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,10.1089/neu.2019.6688,Altered Fecal Microbiome Years after Traumatic Brain Injury,2020,United States,North America,Both,JOURNAL OF NEUROTRAUMA,Traumatic Brain Injury (TBI),Increase,Yes,"Firmicutes, Actinobacteria, Verrucomicrobia, Ruminococcaceae","Bacteroidetes, Prevotellaceae, Prevotella, Prevotella
stercorea, ",Other,Main Text,,Ariana J. Hampton,"CHECK - Shannon diversity (SDI) was significantly higher in TBI, but Observed OTUs was not sign. Assuming we are keeping since SDI measures richness and evenness (OTU is just richness) | Note - UniFrac was used for beta div and had to read a fig to find the result",,,,,,,,,
JingYang2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10719379/,10.1038/s41522-023-00466-5,Spinal cord injury-induced gut dysbiosis influences neurological recovery partly through short-chain fatty acids,2023,China,Asia,16S,NPJ BIOFILMS AND MICROBIOMES,Spinal cord injury (SCI),No Difference,Yes,"Enterococcus, Klebsiella","Faecalibacterium, Megamonas, Agathobacter",LEfSe (LDA),Main Text,,Ariana J. Hampton,Main text indicated significance for depletion/enrichment - double checked with the supp it referenced,,,,,,,,,
