Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
ZhaoZhou2025,https://pubmed.ncbi.nlm.nih.gov/39893498/,10.1186/s13195-025-01683-0,Multi-omics analyses identify gut microbiota-fecal metabolites-brain-cognition pathways in the Alzheimer's disease continuum.,2025,China,Asia,16S,Alzheimer's research & therapy,Alzheimer’s disease (AD),No Difference,Yes,"Sphingomonas, Staphylococcus, Stenotrophomonas, Massilia, Variovorax, Bacillus, Bosea, Dyella","Limosilactobacillus, Anaerostipes",Other,Supplementary File fallback (Top 5),gradient/subtypes,Lucas Patel,"hard to interpret the ""DA"" results",,,,,,,,,
AhoHouser2021,https://pubmed.ncbi.nlm.nih.gov/33557896/,10.1186/s13024-021-00427-6,"Relationships of gut microbiota, short-chain fatty acids, inflammation, and the gut barrier in Parkinson's disease.",2021,Finland,Europe,16S,Molecular neurodegeneration,Parkinson’s disease (PD),Not Reported,Not reported,N/A,N/A,Other,Main Text,,Lucas Patel,"this one is weird because it doesn't directly compare disease to control, but rather correlates against other variables",,,,,,,,,
GhimireLehman2025,https://pubmed.ncbi.nlm.nih.gov/40030030/,10.1073/pnas.2413953122,Specific microbial ratio in the gut microbiome is associated with multiple sclerosis.,2025,United States,North America,Shotgun,Proceedings of the National Academy of Sciences of the United States of America,Multiple sclerosis (MS),No Difference,Yes,"Mediterraneibacter, Collinsella, [Ruminococcus] torques, Ruminococcus sp. Marseille-P328, Dorea sp. CAG:317, Blautia sp. CAG:257, [Ruminococcus] gnavus, Lachnoclostridium, Eggerthella lenta, Ruminococcaceae bacterium cv2, Eggerthella","Faecalibacterium, Faecalibacterium prausnitzii, Prevotella, Prevotella copri, Bifidobacterium adolescentis, Ruminococcus callidus, Streptococcus equinus, Faecalibacterium sp. CAG:74_58_120","LEfSe (LDA), Other",Figure/Table fallback (Top 5),,Lucas Patel,,,,,,,,,,
CattaneoCattane2017,https://pubmed.ncbi.nlm.nih.gov/27776263/,10.1016/j.neurobiolaging.2016.08.019,Association of brain amyloidosis with pro-inflammatory gut bacterial taxa and peripheral inflammation markers in cognitively impaired elderly.,2017,Italy,Europe,Other,Neurobiology of aging,Alzheimer’s disease (AD),Not Reported,Not reported,Escherichia/Shigella,"Bacteroides fragilis, Eubacterium rectale
",Other,Figure/Table fallback (Top 5),gradient/subtypes,Lucas Patel,"no microbiome profiling, direct primers for specific bacteria",,,,,,,,,
ChenChen2022,https://pubmed.ncbi.nlm.nih.gov/34996879/,10.1212/WNL.0000000000013225,Association of Fecal and Plasma Levels of Short-Chain Fatty Acids With Gut Microbiota and Clinical Severity in Patients With Parkinson Disease.,2022,Taiwan,Asia,Shotgun,Neurology,Parkinson’s disease (PD),Increase,Yes,N/A,N/A,Other,Main Text,,Lucas Patel,"no obvious DA, only taxa correlations with SCFA",,,,,,,,,
NagpalNeth2019,https://pubmed.ncbi.nlm.nih.gov/31477562/,10.1016/j.ebiom.2019.08.032,Modified Mediterranean-ketogenic diet modulates gut microbiome and short-chain fatty acids in association with Alzheimer's disease markers in subjects with mild cognitive impairment.,2019,United States,North America,16S,EBioMedicine,Alzheimer’s disease (AD),No Difference,Not reported,"Fimicutes, Proteobacteria, Tenericutes","Bacteroidetes, Verrucomicrobia",LEfSe (LDA),Main Text,intervention,Lucas Patel,,,,,,,,,,
ClasenYildirim2025,https://pubmed.ncbi.nlm.nih.gov/40420833/,10.1080/19490976.2025.2506843,Microbiome signatures of virulence in the oral-gut-brain axis influence Parkinson's disease and cognitive decline pathophysiology.,2025,United States,North America,Shotgun,Gut microbes,"Parkinson’s disease (PD), Dementia",Decrease,Not reported,,,,Main Text,gradient/subtypes,Lucas Patel,"beta not reported for PD vs HC, only gut vs oral which is obviously significant",,,,,,,,,
IvakhniukIvakhniuk2021,https://pubmed.ncbi.nlm.nih.gov/34103438/,,INTESTINAL MICROBIOTA IN ALZHEIMER'S DISEASE.,2021,Georgia (Republic),,,Georgian medical news,Alzheimer’s disease (AD),,,,,,Main Text,,Lucas Patel,,,,,,,,,,
SterlinLarsen2021,https://pubmed.ncbi.nlm.nih.gov/33975914/,10.1212/NXI.0000000000000997,Perturbed Microbiota/Immune Homeostasis in Multiple Sclerosis.,2021,United States,North America,,Neurology(R) neuroimmunology & neuroinflammation,Multiple sclerosis (MS),,,,,,Main Text,,Lucas Patel,,,,,,,,,,
KangKhatib2025,https://pubmed.ncbi.nlm.nih.gov/40604345/,10.1002/alz.70417,Gut microbiome compositional and functional features associate with Alzheimer's disease pathology.,2025,United States,North America,,Alzheimer's & dementia : the journal of the Alzheimer's Association,"Alzheimer’s disease (AD), Dementia",,,,,,Main Text,,Lucas Patel,,,,,,,,,,
ZhangShen2023,https://pubmed.ncbi.nlm.nih.gov/37604976/,10.1038/s41380-023-02216-7,Transmission of Alzheimer's disease-associated microbiota dysbiosis and its impact on cognitive function: evidence from mice and patients.,2023,United States,North America,16S,Molecular psychiatry,"Alzheimer’s disease (AD), Dementia",Increase,Not reported,,,Linear (e.g. MaAsLin),Main Text,,Lucas Patel,,,,,,,,,,
BrennerHiergeist2018,https://pubmed.ncbi.nlm.nih.gov/29065369/,10.1016/j.neurobiolaging.2017.09.023,The fecal microbiome of ALS patients.,2018,United States,North America,,Neurobiology of aging,Amyotrophic lateral sclerosis (ALS),,,,,,Main Text,,Lucas Patel,,,,,,,,,,
ParkKang2024,https://pubmed.ncbi.nlm.nih.gov/39218360/,10.1016/j.nbd.2024.106655,Difference in gut microbial dysbiotic patterns between body-first and brain-first Parkinson's disease.,2024,United States,North America,,Neurobiology of disease,Parkinson’s disease (PD),,,,,,Main Text,gradient/subtypes;confounding disease,Lucas Patel,,,,,,,,,,
FanLin2025,https://pubmed.ncbi.nlm.nih.gov/40448221/,10.1186/s13195-025-01769-9,Compositional and functional gut microbiota alterations in mild cognitive impairment: links to Alzheimer's disease pathology.,2025,England,,,Alzheimer's research & therapy,"Alzheimer’s disease (AD), Dementia",,,,,,Main Text,,Lucas Patel,,,,,,,,,,
MetcalfeRoachCirstea2024,https://pubmed.ncbi.nlm.nih.gov/39192744/,10.1002/mds.29959,Metagenomic Analysis Reveals Large-Scale Disruptions of the Gut Microbiome in Parkinson's Disease.,2024,United States,North America,,Movement disorders : official journal of the Movement Disorder Society,Parkinson’s disease (PD),,,,,,Main Text,,Lucas Patel,,,,,,,,,,
SchwerdtfegerMontini2025,https://pubmed.ncbi.nlm.nih.gov/40344717/,10.1016/j.ebiom.2025.105721,Faecal mucoprotein MUC2 is decreased in multiple sclerosis and is associated with mucin degrading bacteria.,2025,Netherlands,Europe,,EBioMedicine,"Amyotrophic lateral sclerosis (ALS), Parkinson’s disease (PD)",,,,,,Main Text,,Lucas Patel,,,,,,,,,,
ThirionSellebjerg2023,https://pubmed.ncbi.nlm.nih.gov/36604748/,10.1186/s13073-022-01148-1,The gut microbiota in multiple sclerosis varies with disease activity.,2023,Denmark,Europe,Shotgun,Genome medicine,Multiple sclerosis (MS),Not Reported,Yes,"Dysosmobacter, Flavonifractor, Lawsonibacter, Hungatella, Bilophila, Gordonibacter, Anaerobutyricum, Pseudoflavonifractor, Blautia, Anaerotruncus, Erysipelatoclostridium, Ruminococcus, Selimonas, Coprobacillus, Clostridium","Haemophilus, Veillonella, Victivallis, Bifidobacterium, Streptococcus",Linear (e.g. MaAsLin),Main Text,,Megan Nelson,,,,,,,,,,
TrociHaas2025,https://pubmed.ncbi.nlm.nih.gov/40938657/,10.1177/1877718X251354931,Differences in intestinal microbiota in Parkinson's disease and isolated REM sleep behavior disorder.,2025,Germany,Europe,16S,Journal of Parkinson's disease,Parkinson’s disease (PD),No Difference,Yes,"Bacteroides, Citrobacter, Acidaminococcus, Lachnospiraceae (iRBD vs HC), Escherichia/Shigella (PD vs. HC)","Clostridium Cluster IV, Prevotella, Faecalibacterium (PD vs HC), ",DESeq,Main Text,confounding disease,Megan Nelson,,,,,,,,,,
HensenThiele2025,https://pubmed.ncbi.nlm.nih.gov/40995781/,10.1080/19490976.2025.2554195,Metabolic modeling links gut microbiota to metabolic markers of Parkinson's disease.,2025,United States,North America,,Gut microbes,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
LiLu2022,https://pubmed.ncbi.nlm.nih.gov/34695538/,10.1016/j.neuroscience.2021.10.011,"Oral, Nasal, and Gut Microbiota in Parkinson's Disease.",2022,United States,North America,,Neuroscience,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
ChenZeng2023,https://pubmed.ncbi.nlm.nih.gov/38661357/,10.1163/18762891-20220116,Correlation between APOE4 gene and gut microbiota in Alzheimer's disease.,2023,Netherlands,Europe,,Beneficial microbes,Alzheimer’s disease (AD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
BolliriFontana2022,https://pubmed.ncbi.nlm.nih.gov/35852145/,10.1002/ana.26454,Gut Microbiota in Monozygotic Twins Discordant for Parkinson's Disease.,2022,United States,North America,,Annals of neurology,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
ZhangPaul2022,https://doi.org/10.3233/JPD-223500,10.3233/JPD-223500,Parkinson’s Disease and the Gut Microbiome in Rural California,2022,United States,North America,16S,Journal of Parkinson’s Disease,Parkinson’s disease (PD),Decrease,Yes,Proteobacteria (p=0.0007); Verrucomicrobiota (p=0.0078); Actinobacteriota (p=0.0135; NS after constipation adjustment); UBA1819 (p<0.0001); DTU089 (p=0.0078); Akkermansia (p=0.0213); Enterococcus (p=0.0252); Hungatella (p=0.0312),,,Main Text,,Emily Song,,,,,,,,,,
MarizzoniMombelli2026,https://pubmed.ncbi.nlm.nih.gov/41093142/,10.1016/j.bbi.2025.106138,Microbiota-gut-brain axis dysregulation in Alzheimer's disease and its modulation through probiotic supplementation.,2026,Netherlands,Europe,,"Brain, behavior, and immunity",Alzheimer’s disease (AD),,,,,,Main Text,intervention,Megan Nelson,,,,,,,,,,
DengLi2024,https://pubmed.ncbi.nlm.nih.gov/38908272/,10.1016/j.envint.2024.108806,Association between environmental phthalates exposure and gut microbiota and metabolome in dementia with Lewy bodies.,2024,Netherlands,Europe,,Environment international,Dementia,,,,,,Main Text,,Megan Nelson,,,,,,,,,,
WangLi2022,https://doi.org/10.3233/JAD-220076,10.3233/JAD-220076,Intestinal Microflora Changes in Patients with Mild Alzheimer’s Disease in a Chinese Cohort,2022,China,Asia,16S,Journal of Alzheimer’s Disease,Alzheimer’s disease (AD),No Difference,Yes,Akkermansia (LEfSe LDA>2; p<0.01); Bifidobacterium (Metastats FDR p<0.05); Bacteroides (Metastats FDR p<0.05); Fusobacterium (Metastats FDR p<0.05); Anaerotruncus (Metastats FDR p<0.05); Clostridium (Metastats FDR p<0.05); Coprobacillus (Metastats FDR p<0.05); Enterobacter (Metastats FDR p<0.05); Robiginitalea (Metastats FDR p<0.05); Moryella (Metastats FDR p<0.05); Sutterella (Metastats FDR p<0.05); Pyramidobacter (Metastats FDR p<0.05),Anaerostipes (Metastats FDR p<0.05); Mitsuokella (Metastats FDR p<0.05); Prevotella (Metastats FDR p<0.05); Bosea (Metastats FDR p<0.05); Lachnobacterium (Metastats FDR p<0.05); Aeromicrobium (Metastats FDR p<0.05); Coprococcus (Metastats FDR p<0.05); Tsukamurella (Metastats FDR p<0.05); Ruminococcus (Metastats FDR p<0.05); Megamonas (Metastats FDR p<0.05); Comamonas (Metastats FDR p<0.05); Fimbriimonas (Metastats FDR p<0.05); Faecalibacterium (Metastats FDR p<0.05); Labrys (Metastats FDR p<0.05).,,Main Text,,Emily Song,,,,,,,,,,
DuruLecomte2024,https://pubmed.ncbi.nlm.nih.gov/39143178/,10.1038/s41598-024-69742-4,Metagenome-assembled microbial genomes from Parkinson's disease fecal samples.,2024,England,,,Scientific reports,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
KaurKumari2025,https://pubmed.ncbi.nlm.nih.gov/40720918/,10.1016/j.jneuroim.2025.578696,Gut dysbiosis influences the pathophysiology of multiple sclerosis: A case-control study from North India.,2025,Netherlands,Europe,,Journal of neuroimmunology,Multiple sclerosis (MS),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
GuptaJanda2025,https://pubmed.ncbi.nlm.nih.gov/39819054/,10.1212/NXI.0000000000200355,Alterations in Gut Microbiome-Host Relationships After Immune Perturbation in Patients With Multiple Sclerosis.,2025,United States,North America,,Neurology(R) neuroimmunology & neuroinflammation,Multiple sclerosis (MS),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
NakaharaNakane2023,https://pubmed.ncbi.nlm.nih.gov/36750613/,10.1038/s41598-023-29219-2,Gut microbiota of Parkinson's disease in an appendectomy cohort: a preliminary study.,2023,England,,,Scientific reports,Parkinson’s disease (PD),,,,,,Main Text,gradient/subtypes,Megan Nelson,,,,,,,,,,
PalaciosWilkinson2023,https://pubmed.ncbi.nlm.nih.gov/37314861/,10.1002/ana.26719,Metagenomics of the Gut Microbiome in Parkinson's Disease: Prodromal Changes.,2023,United States,North America,,Annals of neurology,Parkinson’s disease (PD),,,,,,Main Text,gradient/subtypes,Megan Nelson,,,,,,,,,,
ZhangYuan2023,https://pubmed.ncbi.nlm.nih.gov/36420886/,10.5414/CP204285,Changes in the intestinal microbiota of patients with Parkinson's disease and their clinical significance.,2023,Germany,Europe,,International journal of clinical pharmacology and therapeutics,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
BarichellaSevergnini2019,https://pubmed.ncbi.nlm.nih.gov/30576008/,10.1002/mds.27581,Unraveling gut microbiota in Parkinson's disease and atypical parkinsonism.,2019,United States,North America,,Movement disorders : official journal of the Movement Disorder Society,"Multiple system atrophy (MSA), Parkinson’s disease (PD)",,,,,,Main Text,gradient/subtypes,Megan Nelson,,,,,,,,,,
PetrovSaltykova2017,https://pubmed.ncbi.nlm.nih.gov/28429209/,10.1007/s10517-017-3700-7,Analysis of Gut Microbiota in Patients with Parkinson's Disease.,2017,United States,North America,,Bulletin of experimental biology and medicine,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
HertzbergSingh2022,https://pubmed.ncbi.nlm.nih.gov/33818222/,10.1080/21678421.2021.1904994,Gut microbiome differences between amyotrophic lateral sclerosis patients and spouse controls.,2022,England,,,Amyotrophic lateral sclerosis & frontotemporal degeneration,Amyotrophic lateral sclerosis (ALS),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
KaiyrlykyzyKozhakhmetov2022,https://pubmed.ncbi.nlm.nih.gov/36068280/,10.1038/s41598-022-19393-0,Study of gut microbiota alterations in Alzheimer's dementia patients from Kazakhstan.,2022,England,,,Scientific reports,"Alzheimer’s disease (AD), Dementia",,,,,,Main Text,,Megan Nelson,,,,,,,,,,
KeshavarzianGreen2015,https://pubmed.ncbi.nlm.nih.gov/26179554/,10.1002/mds.26307,Colonic bacterial composition in Parkinson's disease.,2015,United States,North America,,Movement disorders : official journal of the Movement Disorder Society,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
KhedrOmeran2022,https://doi.org/10.3233/JAD-220176,10.3233/JAD-220176,Alteration of Gut Microbiota in Alzheimer’s Disease and Their Relation to the Cognitive Impairment,2022,Egypt,Africa,16S,Journal of Alzheimer’s Disease,Alzheimer’s disease (AD),Not Reported,Not reported,"Akkermansia (AD>Ctrl, qPCR p<0.05); Enterobacteria (p<0.05); Bacteroidetes (p<0.05); Bacillus cereus (p<0.05); Prevotella (p<0.05); Clostridium cluster IV (p<0.05)",Bifidobacterium spp. (p<0.05); Firmicutes (p<0.05); Actinobacteria (p<0.05).,,Main Text,,Emily Song,,,,,,,,,,
HopfnerKünstner2017,https://pubmed.ncbi.nlm.nih.gov/28506555/,10.1016/j.brainres.2017.04.019,Gut microbiota in Parkinson disease in a northern German cohort.,2017,Netherlands,Europe,,Brain research,Parkinson’s disease (PD),,,,,,Main Text,,Megan Nelson,,,,,,,,,,
NuzumSzymlekGay2023,https://pubmed.ncbi.nlm.nih.gov/37150399/,10.1016/j.neuropharm.2023.109566,Differences in the gut microbiome across typical ageing and in Parkinson's disease.,2023,England,,,Neuropharmacology,Parkinson’s disease (PD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
QianBao2025,https://pubmed.ncbi.nlm.nih.gov/38850348/,10.1007/s12035-024-04271-9,Multi-omics Analysis Reveals Key Gut Microbiota and Metabolites Closely Associated with Huntington's Disease.,2025,United States,North America,,Molecular neurobiology,Huntington’s disease (HD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
LuYang2022,,10.3389/fneur.2022.834403,Gut Microbiota and Targeted Biomarkers Analysis in Patients With Cognitive Impairment,2022,,,,FRONTIERS IN NEUROLOGY,Other,,,,,,Main Text,,Jessica Han,,,,,,,,,,
RowinXia2017,https://pubmed.ncbi.nlm.nih.gov/28947596/,10.14814/phy2.13443,Gut inflammation and dysbiosis in human motor neuron disease.,2017,United States,North America,,Physiological reports,Amyotrophic lateral sclerosis (ALS),,,,,,Main Text,,Jessica Han,,,,,,,,,,
YanYang2021,https://pubmed.ncbi.nlm.nih.gov/34530073/,10.1016/j.micpath.2021.105187,Alterations of gut microbiota and metabolome with Parkinson's disease.,2021,England,,,Microbial pathogenesis,Parkinson’s disease (PD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
LinZheng2018,https://pubmed.ncbi.nlm.nih.gov/29776865/,10.1016/j.parkreldis.2018.05.007,Gut microbiota in patients with Parkinson's disease in southern China.,2018,England,,,Parkinsonism & related disorders,Parkinson’s disease (PD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
OzaydinAksunErdogan2024,https://doi.org/10.55730/1300-0144.5825,10.55730/1300-0144.5825,Is gut microbiota of patients with ALS different from that of healthy individuals?,2024,Turkey,Middle East,16S,Turkish Journal of Medical Sciences,Amyotrophic lateral sclerosis (ALS),No Difference,Not reported,Atopobiaceae; Actinomycetaceae; Erysipelatoclostridiaceae; Peptococcaceae; Bacilli; Coriobacteriia; Actinomycetales; Coriobacteriales; Actinomyces; Prevotella; Bacteroides; Succinivibrio; Faecalibacterium,Succinivibrionaceae; Lachnospiraceae,,Main Text,,Emily Song,,,,,,,,,,
NavarroLópezMéndezMiralles2022,https://pubmed.ncbi.nlm.nih.gov/35627315/,10.3390/genes13050930,Gut Microbiota as a Potential Predictive Biomarker in Relapsing-Remitting Multiple Sclerosis.,2022,Switzerland,Europe,,Genes,Multiple sclerosis (MS),,,,,,Main Text,,Jessica Han,,,,,,,,,,
NicholsonBjornevik2021,https://pubmed.ncbi.nlm.nih.gov/33135936/,10.1080/21678421.2020.1828475,The human gut microbiota in people with amyotrophic lateral sclerosis.,2021,England,,,Amyotrophic lateral sclerosis & frontotemporal degeneration,Amyotrophic lateral sclerosis (ALS),,,,,,Main Text,,Jessica Han,,,,,,,,,,
LeeJo2025,https://doi.org/10.1186/s40168-025-02095-w,10.1186/s40168-025-02095-w,Distinct gut microbiome characteristics and dynamics in patients with Parkinson’s disease based on the presence of premotor rapid-eye movement sleep behavior disorders,2025,South Korea,Asia,Both,Microbiome,Parkinson’s disease (PD),Not Reported,Yes,Akkermansia (p=4.41e-02); Barnesiella (p=1.31e-02); Eisenbergiella (p=7.07e-04); Desulfovibrio (p=7.33e-03); Hungatella (p=4.42e-04); Erysipelatoclostridium (p=1.51e-02); Leuconostoc (p=7.19e-04),Prevotella (p=3.15e-02); Faecalibacterium (p=5.74e-04); Agathobaculum (p=2.97e-04); RBD−: ↑ Coprobacter (p=7.86e-04),,Main Text,gradient/subtypes;confounding disease,Emily Song,,,,,,,,,,
YoonKang2024,https://pubmed.ncbi.nlm.nih.gov/37711026/,10.1080/1028415X.2023.2253025,Dietary quality and the gut microbiome in early-stage Parkinson's disease patients.,2024,England,,,Nutritional neuroscience,Parkinson’s disease (PD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
MehannaAbuRaya2023,https://pubmed.ncbi.nlm.nih.gov/37481569/,10.1186/s12866-023-02933-7,Study of the gut microbiome in Egyptian patients with Parkinson's Disease.,2023,England,,,BMC microbiology,Parkinson’s disease (PD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
ElsayedValenzuela2023,https://pubmed.ncbi.nlm.nih.gov/37758833/,10.1038/s41598-023-43217-4,Genetic risk score in multiple sclerosis is associated with unique gut microbiome.,2023,England,,,Scientific reports,Multiple sclerosis (MS),,,,,,Main Text,,Jessica Han,,,,,,,,,,
HosseinkhaniChevalier2025,https://pubmed.ncbi.nlm.nih.gov/41164885/,10.1002/alz.70844,Plasma and feces multiomics unveil cognition-associated perturbations of chronic inflammatory pathways of the gut-microbiota-brain axis.,2025,United States,North America,,Alzheimer's & dementia : the journal of the Alzheimer's Association,Dementia,,,,,,Main Text,gradient/subtypes,Jessica Han,,,,,,,,,,
CantarelWaubant2015,https://pubmed.ncbi.nlm.nih.gov/25775034/,10.1097/JIM.0000000000000192,Gut microbiota in multiple sclerosis: possible influence of immunomodulators.,2015,England,,,Journal of investigative medicine : the official publication of the American           Federation for Clinical Research,Multiple sclerosis (MS),,,,,,Main Text,intervention,Jessica Han,,,,,,,,,,
DuDong2020,https://pubmed.ncbi.nlm.nih.gov/33679692/,10.3389/fimmu.2020.603594,Altered Gut Microbiota Related to Inflammatory Responses in Patients With Huntington's Disease.,2020,Switzerland,Europe,,Frontiers in immunology,Huntington’s disease (HD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
TrociZimmermann2022,https://pubmed.ncbi.nlm.nih.gov/35260584/,10.1038/s41598-022-07336-8,B-cell-depletion reverses dysbiosis of the microbiome in multiple sclerosis patients.,2022,England,,,Scientific reports,Multiple sclerosis (MS),,,,,,Main Text,intervention,Jessica Han,,,,,,,,,,
LuoChen2022,,10.3389/fimmu.2022.869846,"Gut microbiota composition reflects disease progression, severity and outcome, and dysfunctional immune responses in patients with hypertensive intracerebral hemorrhage",2022,,,,FRONTIERS IN IMMUNOLOGY,Stroke,,,,,,Main Text,,Jessica Han,,,,,,,,,,
DuZhang2024,https://pubmed.ncbi.nlm.nih.gov/38561921/,10.1002/mds.29803,Idiopathic Rapid Eye Movement Sleep Behavior Disorder (iRBD) Shares Similar Fecal Short-Chain Fatty Acid Alterations with Multiple System Atrophy (MSA) and Parkinson's Disease (PD).,2024,United States,North America,,Movement disorders : official journal of the Movement Disorder Society,"Multiple system atrophy (MSA), Parkinson’s disease (PD)",,,,,,Main Text,,Jessica Han,,,,,,,,,,
RomoVaqueroFernándezVillalba2022,https://pubmed.ncbi.nlm.nih.gov/35611932/,10.1039/d2fo00552b,Urolithins: potential biomarkers of gut dysbiosis and disease stage in Parkinson's patients.,2022,England,,,Food & function,Parkinson’s disease (PD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
WanapaisanChuansangeam2022,https://pubmed.ncbi.nlm.nih.gov/36070704/,10.1159/000526947,Association between Gut Microbiota with Mild Cognitive Impairment and Alzheimer's Disease in a Thai Population.,2022,Switzerland,Europe,,Neuro-degenerative diseases,"Alzheimer’s disease (AD), Dementia",,,,,,Main Text,,Jessica Han,,,,,,,,,,
Rustvan2025,https://pubmed.ncbi.nlm.nih.gov/40318838/,10.1016/j.neuroscience.2025.04.050,Association between the relative abundance of butyrate-producing and mucin-degrading taxa and Parkinson's disease.,2025,United States,North America,,Neuroscience,Parkinson’s disease (PD),,,,,,Main Text,,Jessica Han,,,,,,,,,,
BabacanKayacan2023,https://pubmed.ncbi.nlm.nih.gov/36719617/,10.1007/s13760-023-02195-0,Altered gut microbiota in patients with idiopathic Parkinson's disease: an age-sex matched case-control study.,2023,Turkey,Europe,16S,Acta neurologica Belgica,Parkinson’s disease (PD),No Difference,Not reported,Lactobacillaceae and Akkermansiaceae; Lactobacillus,"Coriobacteriales; Lachnospiraceae ND3007 group, Tyzzerella, Fusicatenibacter, Eubacterium hallii group, and Ruminococcus gauvreauii group",Linear (e.g. MaAsLin),Main Text,,Jason A. Rothman,,,,,,,,,,
QianYang2020,https://pubmed.ncbi.nlm.nih.gov/32844199/,10.1093/brain/awaa201,Gut metagenomics-derived genes as potential biomarkers of Parkinson's disease.,2020,China,Asia,Shotgun,Brain : a journal of neurology,Parkinson’s disease (PD),Increase,Yes,Phyla Synergistetes and Verrucomicrobia,,Other,Main Text,,Jason A. Rothman,,,,,,,,,,
LiLiu2025,https://pubmed.ncbi.nlm.nih.gov/40340433/,10.1128/msphere.00590-24,Alterations of fecal microbiota and plasma metabolome in patients with Parkinson's disease with rapid eye movement sleep disorder.,2025,China,Asia,16S,mSphere,Parkinson’s disease (PD),No Difference,Yes,Christensenellales,,LEfSe (LDA),Main Text,gradient/subtypes;confounding disease,Jason A. Rothman,"Also includes Idiopathic RBD patients; authors list many significant differences in the main text, but no directionality",,,,,,,,,
ZhouWang2021,https://pubmed.ncbi.nlm.nih.gov/33814442/,10.3233/JAD-201497,Gut Microbiota Changes and Their Correlation with Cognitive and Neuropsychiatric Symptoms in Alzheimer's Disease.,2021,China,Asia,16S,Journal of Alzheimer's disease : JAD,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Genus Bifidobacterium (p = 0.031) and species Actinomyces viscosus (p = 0.007) from Actinobacteria, genus Sphingomonas (p = 0.022), Bilophila (p = 0.004), and Neorhizobium (p = 0.027) all from Proteobacteria, and genus Flavobacterium (p = 0.015), Moheibacter (p = 0.019), Lactobacillus (p = 0.005), Weissella (p = 0.025), Blautia (p = 0.047), Clostridium_XlVa (p = 0.032), and Solobacterium (p = 0.005)","genus Odoribacter (p = 0.008), Eubacterium (p = 0.006), Anaerobacterium (p < 0.001), and Papillibacter (p < 0.001)",LEfSe (LDA),Main Text,,Jason A. Rothman,,,,,,,,,,
TanChong2021,https://pubmed.ncbi.nlm.nih.gov/33274480/,10.1002/ana.25982,Gut Microbial Ecosystem in Parkinson Disease: New Clinicobiological Insights from Multi-Omics.,2021,Canada,North America,16S,Annals of neurology,Parkinson’s disease (PD),No Difference,Yes,"Bacteroides fragilis, Lactobacillus acidophilus, unclassified Megasphaera, and unclassified Gammaproteobacteria. Five genera were significantly increased in PD (Cloacibacillus, Catabacter, Christensenella, Butyrivibrio, and Bifidobacterium)",,DESeq,Main Text,,Jason A. Rothman,,,,,,,,,,
HaranBhattarai2019,https://pubmed.ncbi.nlm.nih.gov/31064831/,10.1128/mBio.00632-19,Alzheimer's Disease Microbiome Is Associated with Dysregulation of the Anti-Inflammatory P-Glycoprotein Pathway.,2019,United States,North America,Shotgun,mBio,"Alzheimer’s disease (AD), Dementia",Not Reported,Yes,"AD: Bacteroides spp. (P = 0.031), Alistipes spp. (P < 0.001), Odoribacter spp. (P < 0.001), and Barnesiella spp. (P = 0.023), other dementias: Odoribacter spp. (P = 0.025) and Barnesiella spp. (P = 0.024)","AD: Lachnoclostridium spp. (P = 0.048) , other dementias: Eubacterium spp. (P < 0.001), Roseburia spp. (P = 0.034), Lachnoclostridium spp. (P = 0.048), and Collinsella spp. (P < 0.001)",Other,Main Text,gradient/subtypes,Jason A. Rothman,,,,,,,,,,
